縣市別,性別,年齡,婚姻狀況,教育程度,人口數
新北市,女,60~69,未婚,大學及專科,8748
新北市,女,60~69,未婚,碩士以上,1524
新北市,女,60~69,未婚,高中及以下,13231
新北市,女,60~69,非未婚,大學及專科,51019
新北市,女,60~69,非未婚,碩士以上,5228
新北市,女,60~69,非未婚,高中及以下,197559
新北市,男,15~19,未婚,大學及專科,0
新北市,男,15~19,未婚,碩士以上,0
新北市,男,15~19,未婚,高中及以下,83045
新北市,男,15~19,非未婚,大學及專科,0
新北市,男,15~19,非未婚,碩士以上,0
新北市,男,15~19,非未婚,高中及以下,50
新北市,男,20~29,未婚,大學及專科,105948
新北市,男,20~29,未婚,碩士以上,13289
新北市,男,20~29,未婚,高中及以下,112114
新北市,男,20~29,非未婚,大學及專科,5748
